city,state_id,state_name,county_name,lat,lng,timezone
New York,NY,New York,Queens,40.6943,-73.9249,America/New_York
Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,America/Los_Angeles
Chicago,IL,Illinois,Cook,41.8375,-87.6866,America/Chicago
Miami,FL,Florida,Miami-Dade,25.7840,-80.2101,America/New_York
Houston,TX,Texas,Harris,29.7860,-95.3885,America/Chicago
Dallas,TX,Texas,Dallas,32.7935,-96.7667,America/Chicago
Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,America/New_York
Atlanta,GA,Georgia,Fulton,33.7628,-84.4220,America/New_York
Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,America/New_York
Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,America/New_York
Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,America/Phoenix
Detroit,MI,Michigan,Wayne,42.3834,-83.1024,America/Detroit
Seattle,WA,Washington,King,47.6211,-122.3244,America/Los_Angeles
San Francisco,CA,California,San Francisco,37.7558,-122.4449,America/Los_Angeles
San Diego,CA,California,San Diego,32.8313,-117.1222,America/Los_Angeles
Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,America/Chicago
Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,America/New_York
Brooklyn,NY,New York,Kings,40.6501,-73.9496,America/New_York
Denver,CO,Colorado,Denver,39.7620,-104.8758,America/Denver
Queens,NY,New York,Queens,40.7498,-73.7976,America/New_York
Riverside,CA,California,Riverside,33.9381,-117.3949,America/Los_Angeles
Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,America/Los_Angeles
Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,America/New_York
St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,America/Chicago
Portland,OR,Oregon,Multnomah,45.5371,-122.6500,America/Los_Angeles
San Antonio,TX,Texas,Bexar,29.4632,-98.5238,America/Chicago
Sacramento,CA,California,Sacramento,38.5677,-121.4685,America/Los_Angeles
Austin,TX,Texas,Travis,30.3005,-97.7522,America/Chicago
Orlando,FL,Florida,Orange,28.4773,-81.3370,America/New_York
San Juan,PR,Puerto Rico,San Juan,18.3985,-66.0610,America/Puerto_Rico
San Jose,CA,California,Santa Clara,37.3012,-121.8480,America/Los_Angeles
Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,America/Indiana/Indianapolis
Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,America/New_York
Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5060,America/New_York
Manhattan,NY,New York,New York,40.7834,-73.9662,America/New_York
Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,America/Chicago
Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,America/New_York
Columbus,OH,Ohio,Franklin,39.9862,-82.9855,America/New_York
Bronx,NY,New York,Bronx,40.8501,-73.8662,America/New_York
Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,America/New_York
Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,America/New_York
Jacksonville,FL,Florida,Duval,30.3322,-81.6749,America/New_York
Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,America/Chicago
Providence,RI,Rhode Island,Providence,41.8230,-71.4187,America/New_York
Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,America/Chicago
Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,America/Denver
Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,America/New_York
Richmond,VA,Virginia,Richmond,37.5295,-77.4756,America/New_York
Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,America/Chicago
Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,America/Chicago
Hartford,CT,Connecticut,Capitol,41.7661,-72.6834,America/New_York
Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,America/New_York
Buffalo,NY,New York,Erie,42.9018,-78.8487,America/New_York
Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,America/Chicago
Bridgeport,CT,Connecticut,Greater Bridgeport,41.1918,-73.1954,America/New_York
